sbj,Session,Condition,Score,condition
20,1,4,25,ZeroBack
20,1,5,57,OneBack
20,1,6,57,TwoBack
20,1,7,74.6533499457417,PVT
20,1,8,71,Flanker
20,2,1,25,MATB_easy
20,2,2,37,MATB_med
20,2,3,85,MATB_diff
20,2,4,25,ZeroBack
20,2,5,37,OneBack
20,2,6,71,TwoBack
20,2,7,37,PVT
20,2,8,37,Flanker
20,3,1,13,MATB_easy
20,3,2,21.0220650295406,MATB_med
20,3,3,71,MATB_diff
20,3,4,27.1954503436357,ZeroBack
20,3,5,37,OneBack
20,3,6,25,TwoBack
20,3,7,57,PVT
20,3,8,37,Flanker
21,1,1,88.5434669024557,MATB_easy
21,1,2,70,MATB_med
21,1,3,112.079498412443,MATB_diff
21,1,4,48.0306257787066,ZeroBack
21,1,5,54.9756842570636,OneBack
21,1,6,80.4408986777059,TwoBack
21,1,7,112,PVT
21,1,8,85.4567742454081,Flanker
21,2,1,16.0061894618383,MATB_easy
21,2,2,19.0928821188859,MATB_med
21,2,3,98.5752180378602,MATB_diff
21,2,4,37.9988746433021,ZeroBack
21,2,5,38.3847112254331,OneBack
21,2,6,90.8584863952414,TwoBack
21,2,7,49.5739721072304,PVT
21,2,8,25.6521040151119,Flanker
21,3,1,13.6911699690527,MATB_easy
21,3,2,0.186889594469676,MATB_med
21,3,3,111.307825248181,MATB_diff
21,3,4,38.3847112254331,ZeroBack
21,3,5,55.3615208391946,OneBack
21,3,6,39.9280575539568,TwoBack
21,3,7,79.669225513444,PVT
21,3,8,83.5275913347534,Flanker
22,1,1,61.5349061532897,MATB_easy
22,1,2,96.6460351272055,MATB_med
22,1,3,106.67778626261,MATB_diff
22,1,4,46.1014428680519,ZeroBack
22,1,5,56.5190305855874,OneBack
22,1,6,43.0147502110044,TwoBack
22,1,7,59.219886660504,PVT
22,1,8,50,Flanker
22,2,1,70.4091475423014,MATB_easy
22,2,2,77.7400426027893,MATB_med
22,2,3,71.9524938708251,MATB_diff
22,2,4,56.9048671677183,ZeroBack
22,2,5,59.6057232426349,OneBack
22,2,6,68.0941280495157,TwoBack
22,2,7,75.0391865278727,PVT
22,2,8,38.3847112254331,Flanker
22,3,1,66.5507817209919,MATB_easy
22,3,2,68.0941280495157,MATB_med
22,3,3,93.9451790522889,MATB_diff
22,3,4,40.3138941360878,ZeroBack
22,3,5,56.5190305855874,OneBack
22,3,6,52.660664764278,TwoBack
22,3,7,63.4640890639444,PVT
22,3,8,36.0696917326474,Flanker
23,1,1,41.8572404646116,MATB_easy
23,1,2,42.2430770467425,MATB_med
23,1,3,49.9598086893614,MATB_diff
23,1,4,27.1954503436357,ZeroBack
23,1,5,25,OneBack
23,1,6,37.6130380611712,TwoBack
23,1,7,24.88043085085,PVT
23,1,8,34.5263454041236,Flanker
23,2,1,34.1405088219927,MATB_easy
23,2,2,46.1014428680519,MATB_med
23,2,3,45.32976970379,MATB_diff
23,2,4,23.3370845223263,ZeroBack
23,2,5,37,OneBack
23,2,6,13.6911699690527,TwoBack
23,2,7,23.3370845223263,PVT
23,2,8,19.4787187010168,Flanker
23,3,1,24.4945942687191,MATB_easy
23,3,2,22.1795747759334,MATB_med
23,3,3,41.0855673003497,MATB_diff
23,3,4,13,ZeroBack
23,3,5,51.5031550178851,OneBack
23,3,6,48.0306257787066,TwoBack
23,3,7,43.7864233752663,PVT
23,3,8,49.1881355250995,Flanker
24,1,1,40.3138941360878,MATB_easy
24,1,2,56.1331940034565,MATB_med
24,1,3,95.4885253808127,MATB_diff
24,1,4,30.2821430006833,ZeroBack
24,1,5,29.8963064185523,OneBack
24,1,6,49.9598086893614,TwoBack
24,1,7,37.2272014790402,PVT
24,1,8,84.6851010811463,Flanker
24,2,1,46.1014428680519,MATB_easy
24,2,2,57.6765403319802,MATB_med
24,2,3,76.5825328563964,MATB_diff
24,2,4,19.0928821188859,ZeroBack
24,2,5,24.88043085085,OneBack
24,2,6,29.8963064185523,TwoBack
24,2,7,37,PVT
24,2,8,56.9048671677183,Flanker
24,3,1,33.3688356577308,MATB_easy
24,3,2,45.715606285921,MATB_med
24,3,3,85,MATB_diff
24,3,4,25.266267432981,ZeroBack
24,3,5,29.5104698364214,OneBack
24,3,6,58.0623769141112,TwoBack
24,3,7,57.2907037498493,PVT
24,3,8,65.77910855673,Flanker
25,1,1,29.1246332542904,MATB_easy
25,1,2,43.4005867931353,MATB_med
25,1,3,101.276074112777,MATB_diff
25,1,4,15.6203528797074,ZeroBack
25,1,5,31.4396527470761,OneBack
25,1,6,100.504400948515,TwoBack
25,1,7,75.0391865278727,PVT
25,1,8,76.9683694385274,Flanker
25,2,1,17.9353723724931,MATB_easy
25,2,2,46.4872794501829,MATB_med
25,2,3,71.5666572886942,MATB_diff
25,2,4,28.3529600900285,ZeroBack
25,2,5,37.2272014790402,OneBack
25,2,6,85,TwoBack
25,2,7,42.6289136288734,PVT
25,2,8,29.8963064185523,Flanker
25,3,1,17.5495357903621,MATB_easy
25,3,2,37.6130380611712,MATB_med
25,3,3,57.6765403319802,MATB_diff
25,3,4,17.5495357903621,ZeroBack
25,3,5,29.1246332542904,OneBack
25,3,6,70.4091475423014,TwoBack
25,3,7,35.2980185683855,PVT
25,3,8,19.4787187010168,Flanker
26,1,1,60.7632329890278,MATB_easy
26,1,2,49.1881355250995,MATB_med
26,1,3,112.079498412443,MATB_diff
26,1,4,10.6044773120051,ZeroBack
26,1,5,25,OneBack
26,1,6,31.0538161649451,TwoBack
26,1,7,2.11607250512439,PVT
26,1,8,13,Flanker
26,2,1,24.4945942687191,MATB_easy
26,2,2,36.8413648969093,MATB_med
26,2,3,93.5593424701579,MATB_diff
26,2,4,7.13194807282665,ZeroBack
26,2,5,14.0770065511836,OneBack
26,2,6,23.7229211044572,TwoBack
26,2,7,5.58860174430288,PVT
26,2,8,25,Flanker
26,3,1,23.3370845223263,MATB_easy
26,3,2,37.6130380611712,MATB_med
26,3,3,84.2992644990153,MATB_diff
26,3,4,13.3053333869217,ZeroBack
26,3,5,9.44696756561232,OneBack
26,3,6,24.88043085085,TwoBack
26,3,7,13.6911699690527,PVT
26,3,8,37,Flanker
27,1,1,64.2357622282063,MATB_easy
27,1,2,88.9293034845866,MATB_med
27,1,3,108.221132591134,MATB_diff
27,1,4,88.1576303203247,ZeroBack
27,1,5,77.7400426027893,OneBack
27,1,6,106.291949680479,TwoBack
27,1,7,80.4408986777059,PVT
27,1,8,98.1893814557293,Flanker
27,2,1,46.4872794501829,MATB_easy
27,2,2,54.5898476749327,MATB_med
27,2,3,91.6301595595032,MATB_diff
27,2,4,80.8267352598368,ZeroBack
27,2,5,56.9048671677183,OneBack
27,2,6,87.0001205739319,TwoBack
27,2,7,83.5275913347534,PVT
27,2,8,71.5666572886942,Flanker
27,3,1,37,MATB_easy
27,3,2,46.1014428680519,MATB_med
27,3,3,71.1808207065632,MATB_diff
27,3,4,32.5971624934689,ZeroBack
27,3,5,37,OneBack
27,3,6,102,TwoBack
27,3,7,85,PVT
27,3,8,71,Flanker
28,1,1,38.770547807564,MATB_easy
28,1,2,56.1331940034565,MATB_med
28,1,3,89.7009766488485,MATB_diff
28,1,4,37.6130380611712,ZeroBack
28,1,5,45.32976970379,OneBack
28,1,6,95.1026887986817,TwoBack
28,1,7,103.205257023432,PVT
28,1,8,71.1808207065632,Flanker
28,2,1,36.8413648969093,MATB_easy
28,2,2,43.4005867931353,MATB_med
28,2,3,57,MATB_diff
28,2,4,36.4555283147783,ZeroBack
28,2,5,48.8022989429685,OneBack
28,2,6,49.5739721072304,TwoBack
28,2,7,50.7314818536233,PVT
28,2,8,40,Flanker
28,3,1,26.0379405972429,MATB_easy
28,3,2,42.2430770467425,MATB_med
28,3,3,57,MATB_diff
28,3,4,30,ZeroBack
28,3,5,45.715606285921,OneBack
28,3,6,57.2907037498493,TwoBack
28,3,7,57,PVT
28,3,8,70,Flanker
29,1,1,41.4714038824806,MATB_easy
29,1,2,93.9451790522889,MATB_med
29,1,3,103.205257023432,MATB_diff
29,1,4,38.3847112254331,ZeroBack
29,1,5,65.77910855673,OneBack
29,1,6,98.9610546199912,TwoBack
29,1,7,46.4872794501829,PVT
29,1,8,40,Flanker
29,2,1,49.5739721072304,MATB_easy
29,2,2,71.9524938708251,MATB_med
29,2,3,90.4726498131104,MATB_diff
29,2,4,30.6679795828142,ZeroBack
29,2,5,35.2980185683855,OneBack
29,2,6,44.9439331216591,TwoBack
29,2,7,53.0465013464089,PVT
29,2,8,38.3847112254331,Flanker
29,3,1,26.0379405972429,MATB_easy
29,3,2,43.0147502110044,MATB_med
29,3,3,64.6215988103372,MATB_diff
29,3,4,37.2272014790402,ZeroBack
29,3,5,47.2589526144448,OneBack
29,3,6,65.77910855673,TwoBack
29,3,7,67.7082914673848,PVT
29,3,8,77.7400426027893,Flanker
